Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite2,Chrome 66.0.3359.139,contains other tests,2018-05-10 21:42:34,2018-05-10 21:42:48,14.206s,PASSED
,,,,,,
Test Cases/TestCaseLogOut,Chrome 66.0.3359.139,"When the user clicks logout button, the system will return to the login page",2018-05-10 21:42:35,2018-05-10 21:42:48,13.451s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 21:42:36,2018-05-10 21:42:40,4.068s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 21:42:40,2018-05-10 21:42:45,5.423s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:42:45,2018-05-10 21:42:46,0.757s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:42:46,2018-05-10 21:42:46,0.441s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:42:46,2018-05-10 21:42:46,0.266s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:42:46,2018-05-10 21:42:47,0.918s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 21:42:47,2018-05-10 21:42:48,0.931s,PASSED
