Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLogin,Chrome 66.0.3359.139,,2018-05-10 02:51:44,2018-05-10 02:53:04,1m - 20.547s,PASSED
,,,,,,
Test Cases/TestCaseLoginUser,Chrome 66.0.3359.139,Test case for user role,2018-05-10 02:51:44,2018-05-10 02:52:07,22.775s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 02:51:45,2018-05-10 02:51:50,4.539s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 02:51:50,2018-05-10 02:52:04,13.936s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:04,2018-05-10 02:52:04,0.435s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:04,2018-05-10 02:52:04,0.220s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:04,2018-05-10 02:52:04,0.214s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:04,2018-05-10 02:52:06,1.218s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:06,2018-05-10 02:52:06,0.171s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:06,2018-05-10 02:52:06,0.179s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:06,2018-05-10 02:52:07,1.149s,PASSED
,,,,,,
Test Cases/TestCaseLoginAdmin,Chrome 66.0.3359.139,Test case for admin role,2018-05-10 02:52:07,2018-05-10 02:52:22,14.851s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:08,2018-05-10 02:52:10,2.112s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 02:52:10,2018-05-10 02:52:19,9.067s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:19,2018-05-10 02:52:19,0.378s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:19,2018-05-10 02:52:19,0.215s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:19,2018-05-10 02:52:20,0.164s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:20,2018-05-10 02:52:21,1.206s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:21,2018-05-10 02:52:21,0.170s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:21,2018-05-10 02:52:21,0.146s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:21,2018-05-10 02:52:22,0.881s,PASSED
,,,,,,
Test Cases/TestCaseIncorrectUser,Chrome 66.0.3359.139,Test case if there is no such user,2018-05-10 02:52:22,2018-05-10 02:52:36,14.301s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:22,2018-05-10 02:52:24,2.104s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 02:52:24,2018-05-10 02:52:34,9.158s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:34,2018-05-10 02:52:34,0.368s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:34,2018-05-10 02:52:34,0.241s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:34,2018-05-10 02:52:34,0.148s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:34,2018-05-10 02:52:36,1.207s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:36,2018-05-10 02:52:36,0.779s,PASSED
,,,,,,
Test Cases/TestCaseEmptyUser,Chrome 66.0.3359.139,,2018-05-10 02:52:36,2018-05-10 02:52:51,14.458s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:37,2018-05-10 02:52:39,2.162s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 02:52:39,2018-05-10 02:52:49,10.670s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:52:49,2018-05-10 02:52:50,0.274s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:50,2018-05-10 02:52:50,0.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:52:50,2018-05-10 02:52:50,0.146s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:50,2018-05-10 02:52:51,0.786s,PASSED
,,,,,,
Test Cases/TestCaseEmptyPassw,Chrome 66.0.3359.139,,2018-05-10 02:52:51,2018-05-10 02:53:04,13.431s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 02:52:51,2018-05-10 02:52:53,2.071s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 02:52:53,2018-05-10 02:53:03,9.391s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 02:53:03,2018-05-10 02:53:03,0.352s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:53:03,2018-05-10 02:53:03,0.187s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 02:53:03,2018-05-10 02:53:03,0.191s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 02:53:03,2018-05-10 02:53:04,0.897s,PASSED
